city,site,utm_est,utm_nrt,for_ever_temp,for_ever_taig,for_ever_trop,for_dec_trop,for_dec_temp,for_mix,shrub_trop,shrub_temp,grass_trop,grass_temp,shrub_lich,grass_lich,barren_lich,wetland,cropland,barren,urban,water,ice,mpa_undev,pd_undev,ed_undev,enn_mn_undev,sdhi,for_all,shrub_all,grass_all,veg_woody,veg_all,natural,develop,city_site,Impervious,med_income
tawa,P-CCP,551505.3093,5225549.029,0.042394729,0,0,0,0.106273274,0.061586938,0,0.001432254,0,0.002005156,0,0,0,0.034660556,0.015754798,0,0.735892294,0,0,7.093636364,3.501066234,42.87214743,139.233447,0.637001118,0.210254941,0.001432254,0.002005156,0.211687196,0.213692352,0.248352907,0.751647093,tawa_P-CCP,17.38944652,78842.18025
tawa,P-CUP,539987.9219,5235632.643,0,0,0,0,0.030954428,0.01862998,0,0,0,0,0,0,0,0,0,0.006018917,0.776440241,0,0,4.365,1.273844782,24.17120474,327.7386361,0.656776298,0.049584408,0,0,0.049584408,0.049584408,0.055603325,0.776440241,tawa_P-CUP,17.73893173,109724.6737
tawa,P-DPV,534489.5724,5240438.583,0.239242685,0,0,0,0.014629948,0.008032129,0,0,0,0,0,0,0,0,0,0.002008032,0.052782559,0,0,27.6,0.956205775,39.87378084,60,0.767044009,0.261904762,0,0,0.261904762,0.261904762,0.263912794,0.052782559,tawa_P-DPV,1.148997135,88606
tawa,P-GP,541039.397,5235299.43,0,0,0,0,0.000286369,0.002004582,0,0,0,0,0,0,0,0,0,0.00486827,0.716781214,0,0,0.5625,1.272750414,5.727376861,475.9556752,0.62936598,0.002290951,0,0,0.002290951,0.002290951,0.007159221,0.716781214,tawa_P-GP,16.16288423,76872.86719
tawa,P-GW1,544646.7993,5232890.003,0,0,0,0,0.001718705,0,0,0,0,0,0,0,0,0.00973933,0,0,0.929246634,0.059295331,0,0.9,1.273114994,7.352239091,333.069758,0.286918459,0.001718705,0,0,0.001718705,0.001718705,0.011458035,0.929246634,tawa_P-GW1,21.69169054,82687.67813
tawa,P-JCP,537439.7877,5237039.969,0.005156116,0,0,0,0.024348324,0.016041249,0,0,0,0,0,0,0,0,0,0,0.954454311,0,0,7.155,0.636557497,14.22706006,152.9705854,0.185184792,0.045545689,0,0,0.045545689,0.045545689,0.045545689,0.954454311,tawa_P-JCP,21.93497565,90094.44948
tawa,P-LCC,545843.2981,5231229.636,0.002294236,0,0,0,0.039862346,0.018927445,0,0.026096931,0,0.01061084,0,0,0,0.01089762,0.065385718,0,0.79007743,0.035847433,0,2.8425,3.823726221,43.59047892,103.8744412,0.725025584,0.061084026,0.026096931,0.01061084,0.087180958,0.097791798,0.108689418,0.855463149,tawa_P-LCC,18.3253012,70611.67941
tawa,P-MCP,542039.0971,5233500.853,0.005436338,0,0,0,0,0,0,0.003719599,0,0,0,0,0,0.000286123,0,0.001144492,0.933905579,0.018311874,0,0.8325,1.271657924,5.340963281,389.317476,0.307693745,0.005436338,0.003719599,0,0.009155937,0.009155937,0.010586552,0.933905579,tawa_P-MCP,21.34154022,46282.53878
tawa,P-MKP2,543544.2464,5231450.08,0.004009164,0,0,0,0.002004582,0.003722795,0,0,0,0,0,0,0,0,0,0,0.988545246,0.001718213,0,3.06,0.318187603,3.436426117,0,0.067426233,0.009736541,0,0,0.009736541,0.009736541,0.009736541,0.988545246,tawa_P-MKP2,22.56323487,62830.96849
tawa,P-OB,535488.1478,5240075.677,0.396156053,0,0,0,0.015203672,0.018932874,0,0,0,0,0,0,0,0,0,0.005450373,0.098106713,0,0,19.53,2.231146809,60.43220501,60,0.945535069,0.430292599,0,0,0.430292599,0.430292599,0.435742972,0.098106713,tawa_P-OB,2.216929699,88606
tawa,P-OLT,555380.0621,5195714.104,0.239161642,0,0,0,0.018949182,0.455641688,0,0.016652311,0,0.007464829,0,0,0,0.040195234,0.074648292,0,0.06775768,0.079529142,0,40.65,1.914058762,71.68150062,60,0.772691479,0.713752512,0.016652311,0.007464829,0.730404823,0.737869653,0.778064887,0.142405972,tawa_P-OLT,1.850271973,70192.13646
tawa,P-OV1,550161.9381,5190799.982,0.146865159,0,0,0,0.015173204,0.290008589,0,0.080732894,0,0.033495563,0,0,0,0.111365588,0.233896364,0,0.08846264,0,0,17.7525,3.817158126,76.62944937,65.59016994,0.818055677,0.452046951,0.080732894,0.033495563,0.532779845,0.566275408,0.677640996,0.322359004,tawa_P-OV1,2.200172068,75428.36426
tawa,P-PCNA2,539001.1726,5236057.195,0.011494253,0,0,0,0.037643678,0.031034483,0,0,0,0,0,0,0,0,0,0.007471264,0.810344828,0,0,4.575,1.915708812,32.37547893,153.5883,0.616636765,0.080172414,0,0,0.080172414,0.080172414,0.087643678,0.810344828,tawa_P-PCNA2,18.7055285,120965.5877
tawa,P-PDP,536408.1467,5239290.197,0.158843732,0,0,0,0.006868918,0.014024041,0,0.004006869,0,0.006868918,0,0,0,0,0,0.001431025,0.444476245,0,0,8.627142857,2.226038288,34.43999237,61.0117199,1.045138634,0.179736691,0.004006869,0.006868918,0.18374356,0.190612479,0.192043503,0.444476245,tawa_P-PDP,10.22349243,88606
tawa,P-RP,536875.1048,5238306.99,0,0,0,0,0.000286205,0,0,0.004006869,0,0.004865484,0,0,0,0,0,0.004293074,0.909845449,0,0,1.0575,1.272021879,8.967754245,63.54101966,0.340880063,0.000286205,0.004006869,0.004865484,0.004293074,0.009158558,0.013451631,0.909845449,tawa_P-RP,20.88059701,88400.85872
tawa,P-RT,552253.656,5228003.95,0,0,0,0,0.011481056,0.008610792,0,0,0,0.001722158,0,0,0,0.012055109,0.088978186,0.002296211,0.847014925,0.027841561,0,1.89,1.913509376,13.29889016,202.5251799,0.575669704,0.020091848,0,0.001722158,0.020091848,0.021814007,0.036165327,0.935993111,tawa_P-RT,20.31352283,70799.76479
tawa,P-RWSR,555692.5691,5197155.868,0.186426117,0,0,0,0.033218786,0.325028637,0,0.024341352,0,0.015177549,0,0,0,0.065005727,0.053837342,0.002290951,0.101088202,0.193585338,0,22.75,2.863688431,61.18747614,66.13873084,0.9860052,0.54467354,0.024341352,0.015177549,0.569014891,0.58419244,0.651489118,0.154925544,tawa_P-RWSR,2.685853379,73023.98229
tawa,P-SCP2,545624.2257,5229907.324,0.044450817,0,0,0,0.051620304,0.033266418,0,0.004588471,0,0,0,0,0,0.002294236,0,0.001433897,0.862345856,0,0,4.32,3.186438518,47.22301883,90.58803023,0.400682115,0.129337539,0.004588471,0,0.133926011,0.133926011,0.137654144,0.862345856,tawa_P-SCP2,19.90398395,59822.61063
tawa,P-STP,538434.7424,5236995.496,0.00773639,0,0,0,0.045558739,0.036962751,0,0,0,0,0,0,0,0,0,0.005730659,0.628653295,0,0,7.5375,1.273479784,32.3782235,123.6396103,0.871881699,0.09025788,0,0,0.09025788,0.09025788,0.095988539,0.628653295,tawa_P-STP,14.34670487,110558.3797
tawa,P-TE1,554795.1663,5196769.834,0.193373322,0,0,0,0.017709226,0.311910883,0,0.030562696,0,0.035132819,0,0,0,0.02456441,0.12910597,0,0.153956013,0.103684662,0,21.47,2.856326764,85.68980291,60.78689326,1.08721883,0.52299343,0.030562696,0.035132819,0.553556127,0.588688946,0.613253356,0.283061982,tawa_P-TE1,3.884273847,77586.26262
