Sample ID,Collected by,Species,Date,Month,Site,City,Latitude,Longitude,% Certain,Freshness,Weather,Condition,Notes,Anal jelly? (for otter),Lab Name,Lab Notes,,,,,,,,,,,,,,,,,,,
UCP145,YH,River otter,4/22/22,4,LWM,Seattle,47.56326,-122.26579,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP146,YH,River otter,4/22/22,4,LWM,Seattle,47.56326,-122.26579,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP147,YH,River otter,4/22/22,4,LWM,Seattle,47.56326,-122.26579,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP148,YH,River otter,4/22/22,4,LWM,Seattle,47.56331,-122.26586,100,A,,,,,,,,,,,,,,,,,,,,,,,,,
UCP149,YH,River otter,4/22/22,4,MBB,Seattle,47.58019,-122.28397,100,B,,,,,,,,,,,,,,,,,,,,,,,,,
UCP150,YH,River otter,4/22/22,4,LNM,Seattle,47.60445,-122.28263,100,B,,,,,,,,,,,,,,,,,,,,,,,,,
UCP151,YH,River otter,4/22/22,4,LNM,Seattle,47.60445,-122.28263,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP152,YH,River otter,4/22/22,4,LNM,Seattle,47.60457,-122.28265,100,A,,,,,,,,,,,,,,,,,,,,,,,,,
UCP153,YH,River otter,4/22/22,4,LNM,Seattle,47.60457,-122.28265,100,B,,,,,,,,,,,,,,,,,,,,,,,,,
UCP154,YH,River otter,4/22/22,4,LNM,Seattle,47.60457,-122.28265,100,A,,,anal jelly only,YEs,,,,,,,,,,,,,,,,,,,,,
UCP155,YH,River otter,4/22/22,4,LNM,Seattle,47.60457,-122.28265,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP156,YH,Coyote,4/25/22,4,,,47.62335989,-122.233102,,C,,,,,STL292,,,,,,,,,,,,,,,,,,,,
UCP157,YH,Coyote,4/25/22,4,,,47.6316,-122.23148,,C,,,,,STL293,,,,,,,,,,,,,,,,,,,,
UCP158,YH,Coyote,4/25/22,4,,,47.63165,-122.23161,,C,,,,,STL294,,,,,,,,,,,,,,,,,,,,
UCP158,YH,River otter,4/25/22,4,WNP,Hunts Point,47.64022,-122.22443,,C,,,double name but should be fine bc different spp,,,,,,,,,,,,,,,,,,,,,,
UCP159,YH,River otter,4/25/22,4,WNP,Hunts Point,47.64022,-122.22443,,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP160,SK,River otter,4/24/2022,4,DNB,Seattle,47.66255,-122.43282,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP161,SK,River otter,4/24/2022,4,DNB,Seattle,47.66255,-122.43282,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP162,SK,River otter,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,,,,,,,,,,,,,,,,,,,,,,
