station,season,species,photodate,phototime
DRP2,Spring20,Procyon lotor,2020-04-21,19:54:45
DRP2,Spring20,Procyon lotor,2020-04-22,19:24:11
DRP2,Spring20,Procyon lotor,2020-04-26,04:53:07
DRP2,Spring20,Procyon lotor,2020-04-26,04:54:43
DRP2,Spring20,Procyon lotor,2020-04-26,05:18:19
DRP2,Spring20,Procyon lotor,2020-04-26,21:51:10
DRP2,Spring20,Procyon lotor,2020-04-27,19:30:46
DRP2,Spring20,Procyon lotor,2020-04-28,01:51:24
DRP2,Spring20,Procyon lotor,2020-04-29,05:07:18
DRP2,Spring20,Procyon lotor,2020-04-03,20:36:03
DRP2,Spring20,Procyon lotor,2020-04-03,21:00:23
DRP2,Spring20,Procyon lotor,2020-04-04,23:23:22
DRP2,Spring20,Procyon lotor,2020-04-04,23:37:45
DRP2,Spring20,Procyon lotor,2020-03-31,23:50:04
DRP2,Summer20,Procyon lotor,2020-07-13,05:55:53
DRP2,Summer20,Procyon lotor,2020-07-13,06:00:11
DRP2,Summer20,Procyon lotor,2020-07-13,06:06:31
DRP2,Summer20,Procyon lotor,2020-07-14,05:53:42
DRP2,Summer20,Procyon lotor,2020-07-15,05:15:42
DRP2,Summer20,Procyon lotor,2020-07-15,21:49:31
DRP2,Summer20,Procyon lotor,2020-07-16,05:22:07
DRP2,Summer20,Procyon lotor,2020-07-16,05:52:15
DRP2,Summer20,Procyon lotor,2020-07-16,21:26:57
DRP2,Summer20,Procyon lotor,2020-07-17,04:59:33
DRP2,Summer20,Procyon lotor,2020-07-17,05:01:16
DRP2,Summer20,Procyon lotor,2020-07-17,14:35:43
DRP2,Summer20,Procyon lotor,2020-07-17,21:32:12
DRP2,Summer20,Procyon lotor,2020-07-17,21:35:57
DRP2,Summer20,Procyon lotor,2020-07-17,21:38:48
DRP2,Summer20,Procyon lotor,2020-07-17,21:44:46
DRP2,Summer20,Procyon lotor,2020-07-18,03:47:45
DRP2,Summer20,Procyon lotor,2020-07-21,02:33:00
DRP2,Summer20,Procyon lotor,2020-07-21,02:36:59
DRP2,Summer20,Procyon lotor,2020-07-21,03:13:33
DRP2,Summer20,Procyon lotor,2020-07-21,06:21:42
DRP2,Summer20,Procyon lotor,2020-07-21,06:29:21
DRP2,Summer20,Procyon lotor,2020-07-21,06:31:37
DRP2,Summer20,Procyon lotor,2020-07-21,06:35:36
DRP2,Summer20,Procyon lotor,2020-07-21,21:33:20
DRP2,Summer20,Procyon lotor,2020-07-21,21:36:32
DRP2,Summer20,Procyon lotor,2020-07-21,21:46:50
DRP2,Summer20,Procyon lotor,2020-07-21,21:48:49
DRP2,Summer20,Procyon lotor,2020-07-21,21:50:41
DRP2,Summer20,Procyon lotor,2020-07-21,22:01:11
DRP2,Summer20,Procyon lotor,2020-07-24,16:29:34
DRP2,Summer20,Procyon lotor,2020-07-24,21:32:18
DRP2,Summer20,Procyon lotor,2020-07-24,21:40:57
DRP2,Summer20,Procyon lotor,2020-07-25,06:28:22
DRP2,Summer20,Procyon lotor,2020-07-25,16:08:45
DRP2,Summer20,Procyon lotor,2020-07-28,05:13:01
DRP2,Summer20,Procyon lotor,2020-07-28,08:24:39
DRP2,Summer20,Procyon lotor,2020-07-28,08:45:31
DRP2,Summer20,Procyon lotor,2020-07-29,05:56:57
DRP2,Summer20,Procyon lotor,2020-07-29,20:53:08
DRP2,Summer20,Procyon lotor,2020-07-30,06:10:11
DRP2,Summer20,Procyon lotor,2020-07-30,21:01:26
DRP2,Summer20,Procyon lotor,2020-07-31,05:36:09
DRP2,Summer20,Procyon lotor,2020-07-31,20:52:56
DRP2,Summer20,Procyon lotor,2020-07-05,05:46:42
